smiles_sta,IC50(nm)
Cc1nc2c(s1)C(=O)C=C(Nc1ccccc1)C2=O,6000
Cc1nc2c(s1)C(=O)C=C(Nc1ccc(F)cc1)C2=O,6300
Cc1nc2c(s1)C(=O)C=C(Nc1ccc(Cl)cc1)C2=O,7000
Cc1nc2c(s1)C(=O)C=C(Nc1ccc(Br)cc1)C2=O,6700
Cc1nc2c(s1)C(=O)C=C(Nc1ccc(I)cc1)C2=O,3000
Cc1nc2c(s1)C(=O)C=C(Nc1ccc(O)cc1)C2=O,6700
Cc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1,6000
COc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1,5600
CCOc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1,20000
CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccc(F)cc3F)ncn2)cc1,15000
CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1,33000
Cc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1,8000
CC(C)c1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1,18000
CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3F)ncn2)cc1,27000
CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Cl)ncn2)cc1,8000
CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Br)ncn2)cc1,4000
COc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1,23000
CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3[N+](=O)[O-])ncn2)cc1,2000
CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(Cl)ccc3Cl)ncn2)cc1,1000
CN(C)CC(O)COc1ccc(Nc2cc(Nc3c(F)cccc3F)ncn2)cc1,9000
CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(C(F)(F)F)ccc3F)ncn2)cc1,6000
CN(C)CC(O)COc1ccc(Nc2cc(N(CC#N)c3cc(Cl)ccc3Cl)ncn2)cc1,50
CN(C)CC(O)COc1ccc(Nc2cc(N(CCC#N)c3cc(Cl)ccc3Cl)ncn2)cc1,500
C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,800
CN(C)CC(O)COc1ccc(Nc2cc(N(Cc3ccccc3)c3cc(Cl)ccc3Cl)ncn2)cc1,5000
Cc1ccc(N(CC#N)c2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c(Br)c1,100
Nc1nc2ccc(C(=O)c3c(F)cccc3F)cn2c1C(=O)c1c(F)cccc1F,1081
Nc1nc2ccc(C(=O)c3c(F)cccc3Cl)cn2c1C(=O)c1c(F)cccc1F,810
C=C(c1ccc2nc(N)c(C(=O)c3c(F)cccc3F)n2c1)c1c(F)cccc1F,1033
N#C/C=C(/c1ccc2nc(N)c(C(=O)c3c(F)cccc3F)n2c1)c1c(F)cccc1F,1553
Nc1nc2ccc(/C(=C/c3nn[nH]n3)c3c(F)cccc3F)cn2c1C(=O)c1c(F)cccc1F,1703
Nc1nc2ccc(C(=O)c3c(F)cccc3F)cn2c1C(=O)c1ccccc1,5053
COc1ccccc1C(=O)c1c(N)nc2ccc(C(=O)c3c(F)cccc3F)cn12,1973
Nc1nc2ccc(C(=O)c3c(F)cccc3F)cn2c1C(=O)c1c(Cl)cccc1Cl,359
Nc1nc2ccc(C(=O)c3c(F)cccc3F)cn2c1C(=O)c1c(F)cccc1Cl,827
COc1cc(F)c(C(=O)c2c(N)nc3ccc(C(=O)c4c(F)cccc4F)cn23)c(F)c1,838
Nc1nc2ccc(C(=O)c3c(F)cccc3F)cn2c1C(=S)c1ccccc1,1894
Nc1nc2ccc(C(=O)c3c(F)cccc3F)cn2c1C(=S)c1c(F)cccc1F,786
COc1cc(F)c(C(=S)c2c(N)nc3ccc(C(=O)c4c(F)cccc4F)cn23)c(F)c1,464
Nc1nc2ccc(C(=O)c3c(Cl)cccc3Cl)cn2c1C(=O)c1c(F)cc(C(=O)O)cc1F,2589
NC(=O)c1cc(F)c(C(=O)c2c(N)nc3ccc(C(=O)c4c(Cl)cccc4Cl)cn23)c(F)c1,1144
COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C)n2)cc1,5600
CCn1c(-c2ccnc(Nc3ccc(S(=O)(=O)NCCOC)cc3)n2)cnc1C,1300
COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,200
Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,450
Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)Cc4ccccc4)cc3)n2)n1C(C)C,1500
COCCS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,490
Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)CC4CCCO4)cc3)n2)n1C(C)C,530
Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)CCCN(C)C)cc3)n2)n1C(C)C,140
Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)CCCN4CCOCC4)cc3)n2)n1C(C)C,210
c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,80
Cc1nn2ncccc2c1-c1ccnc(NC2CC2)n1,800
CCc1nn2ncccc2c1-c1ccnc(NC2CC2)n1,2000
CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2)CC1,12
Cc1nn2ncccc2c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1,50
CCc1nn2ncccc2c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1,25
COc1ccc2c(-c3ccnc(NC4CC4)n3)cnn2n1,2000
c1cc(-c2cnn3nc(NC4CCCC4)ccc23)nc(NC2CC2)n1,160
C=Cc1ccc2c(-c3ccnc(NC4CC4)n3)cnn2n1,200
c1csc(-c2ccc3c(-c4ccnc(NC5CC5)n4)cnn3n2)c1,250
Fc1ccc(-c2ccc3c(-c4ccnc(NC5CC5)n4)cnn3n2)cc1,250
c1cc(-c2cnn3nc(N4CCOCC4)ccc23)nc(NC2CC2)n1,400
c1cc(-c2cnn3nc(N4CCCC4)ccc23)nc(NC2CC2)n1,500
Oc1ccc2c(-c3ccnc(NC4CC4)n3)cnn2n1,1300
CC(C)Oc1ccc2c(-c3ccnc(NC4CC4)n3)cnn2n1,1600
FC(F)(F)CNc1nccc(-c2cnn3ncccc23)n1,1000
Clc1ccc(CNc2nccc(-c3cnn4ncccc34)n2)cc1,1000
c1cnn2ncc(-c3ccnc(NCCCN4CCOCC4)n3)c2c1,3200
CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2C(F)(F)F)CC1,6
CCN(CC)Cc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,12
N#Cc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,4
c1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(-c2cocn2)c1,16
NC(=O)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,160
O=C(O)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,790
CC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,2000
CCN(CC)CCNC(=O)c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,8
CN1CCN(c2ccc(Nc3nccc(-c4cnn5nc(-c6ccc(F)cc6)ccc45)n3)cc2)CC1,26
CC(C)Oc1ccc2c(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)cnn2n1,45
CN(C)CC(O)COc1ccc(Nc2nccc(-c3cnn4nc(N5CCOCC5)ccc34)n2)cc1,38
Cc1nc2ccccn2c1-c1ccnc(N)n1,8000
CC(=O)Nc1nccc(-c2c(C)nc3ccccn23)n1,8900
Cc1nc2ccccn2c1-c1ccnc(Nc2ccccc2)n1,3600
Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1,150
Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(S(N)(=O)=O)cc2)n1,2500
Cc1ccc(F)c(Nc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1,2700
CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccccc2)C3=O)CC1,4410
CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccccc2Cl)C3=O)CC1,25250
CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc([N+](=O)[O-])cc2)C3=O)CC1,2210
CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc(S(N)(=O)=O)cc2)C3=O)CC1,1870
CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc(N4CCN(C)CC4)cc2)C3=O)CC1,1920
O[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cn4)nc32)CC1,3
C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cn4)nc32)CC1,7
CC1(C)CCCC(n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cn4)nc32)C1,3
C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)nc4)nc32)CC1,3
C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)nn4)nc32)CC1,2
C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc(N5CCC(N)CC5)cn4)nc32)CC1,2
CN(C)C1CCN(c2ccc(Nc3ncc4c5ccncc5n([C@H]5CC[C@H](C)CC5)c4n3)nc2)CC1,2
CN(C)C1CCN(c2ccc(Nc3ncc4c5ccncc5n([C@H]5CC[C@H](C)CC5)c4n3)nn2)CC1,2
CN(C)C1CCN(c2ccc(Nc3ncc4c5ccncc5n([C@H]5CC[C@H](C)CC5)c4n3)nc2F)CC1,1
COc1nc(Nc2ncc3c4ccncc4n([C@H]4CC[C@H](C)CC4)c3n2)ccc1N1CCC(N(C)C)CC1,3
C[C@@H](O)CN(C)C1CCN(c2ccc(Nc3ncc4c5ccncc5n([C@H]5CC[C@H](C)CC5)c4n3)nn2)CC1,3
C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc(N5CCN(C(=O)CO)CC5)nn4)nc32)CC1,3
CS(=O)(=O)CC1CCN(c2ccc(Nc3ncc4c5ccncc5n([C@H]5CC[C@H](C)CC5)c4n3)nn2)CC1,9
C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc(N5CCC6(CC5)CCS(=O)(=O)C6)nn4)nc32)CC1,4
C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc(N5CCC6(CCC(=O)N6)CC5)cn4)nc32)CC1,3
COc1nc(Nc2ncc3c4ccncc4n([C@H]4CC[C@H](C)CC4)c3n2)ccc1N1CCC2(CCC(=O)N2)CC1,13
CC(C)OC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,3300
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,4800
Cc1cc2c3c(c1)c(C1=C(c4cnc5ccccn45)C(=O)NC1=O)cn3CCN(C(=O)N1CCCCC1)C2,18000
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,1700
CN(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,1500
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,1800
COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccccc2)cc1,42
COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(C)cc2)cc1,40
COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)cc1,40
COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)cc1,39
COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(OC)cc2)cc1,35
COCCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,3100
CN(C)CCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,260
Cc1ccc(Cl)c(N(CC#N)c2cc(Nc3ccc(OC[C@@H](O)CN(C)C)cc3)ncn2)c1,47
CC(=O)OCOC(=O)N1CCN(c2ccc(Nc3ncc4c(C)c(C(C)=O)c(=O)n(C5CCCC5)c4n3)nc2)CC1,32
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)CNCCN)CC4)cn3)nc2n(C2CCCC2)c1=O,19
COCCCNCC(=O)N1CCN(c2ccc(Nc3ncc4c(C)c(C(C)=O)c(=O)n(C5CCCC5)c4n3)nc2)CC1,13
CCN1CCN(c2ccc(Nc3ncc4c(C)c(C(C)=O)c(=O)n(C5CCCC5)c4n3)nc2)CC1,25
CN1CCN(c2ccc(Nc3ncc4cc(C#N)c(=O)n(C5CCCC5)c4n3)cc2)CC1,3.87
CCn1c(=O)ccc2cnc(Nc3ccccc3)nc21,620
CCNc1ncc2ccc(=O)n(CC)c2n1,11967
CCn1c(=O)ccc2cnc(NC(C)C)nc21,4325
CCn1c(=O)ccc2cnc(NC(C)(C)C)nc21,5250
CCn1c(=O)ccc2cnc(NC3CCCCC3)nc21,3300
CCn1c(=O)ccc2cnc(Nc3ccc(F)cc3)nc21,1238
CCn1c(=O)ccc2cnc(Nc3cccc(F)c3)nc21,1400
CCn1c(=O)ccc2cnc(Nc3ccncc3)nc21,1168
CCn1c(=O)ccc2cnc(Nc3cccc(OC(F)(F)C(F)F)c3)nc21,7833
CCn1c(=O)ccc2cnc(Nc3ccc(OC)cc3)nc21,600
CCn1c(=O)ccc2cnc(Nc3ccc(O)cc3)nc21,585
CCn1c(=O)ccc2cnc(Nc3ccc(OC)c(OC)c3)nc21,4083
CCn1c(=O)ccc2cnc(Nc3ccc(O)c(OC)c3)nc21,1825
CCn1c(=O)ccc2cnc(Nc3ccc(OCCOC)cc3)nc21,2333
CCN(CC)CCOc1ccc(Nc2ncc3ccc(=O)n(CC)c3n2)cc1,160
CCn1c(=O)ccc2cnc(Nc3ccc(OCCN(C)C)cc3)nc21,330
CCN(CC)c1ccc(Nc2ncc3ccc(=O)n(CC)c3n2)cc1,1400
CCn1c(=O)ccc2cnc(Nc3ccc(N4CCOCC4)cc3)nc21,300
CCn1c(=O)ccc2cnc(Nc3ccc(N4CCCCC4)cc3)nc21,300
CCn1c(=O)ccc2cnc(Nc3ccc(N4CCC(CCCO)CC4)cc3)nc21,900
CCn1c(=O)ccc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,85
Cn1c(=O)ccc2cnc(Nc3ccccc3)nc21,5480
CCCn1c(=O)ccc2cnc(Nc3ccccc3)nc21,553
CCC(C)n1c(=O)ccc2cnc(Nc3ccccc3)nc21,190
CCCCn1c(=O)ccc2cnc(Nc3ccccc3)nc21,1495
CC(C)Cn1c(=O)ccc2cnc(Nc3ccccc3)nc21,297
O=c1ccc2cnc(Nc3ccccc3)nc2n1C1CCCCCC1,182
O=c1ccc2cnc(Nc3ccccc3)nc2n1C1CC2CCC1C2,38
O=c1ccc2cnc(Nc3ccccc3)nc2n1-c1ccccc1,1667
O=c1ccc2cnc(Nc3ccccc3)nc2n1Cc1ccccc1,940
COCn1c(=O)ccc2cnc(Nc3ccccc3)nc21,4150
COCCn1c(=O)ccc2cnc(Nc3ccccc3)nc21,2860
CCOCCn1c(=O)ccc2cnc(Nc3ccccc3)nc21,7800
O=c1ccc2cnc(Nc3ccccc3)nc2n1CC1CO1,5000
COC(=O)Cn1c(=O)ccc2cnc(Nc3ccccc3)nc21,31000
CCN(CC)CCOc1ccc(Nc2ncc3ccc(=O)n(C(C)C)c3n2)cc1,45
CCN(CC)CCOc1ccc(Nc2ncc3ccc(=O)n(C4CCCCC4)c3n2)cc1,11
CCN(CC)CCOc1ccc(Nc2ncc3ccc(=O)n(C4CCCCCC4)c3n2)cc1,4
CCN(CC)CCOc1ccc(Nc2ncc3ccc(=O)n(C4CC5CCC4C5)c3n2)cc1,450
CN1CCN(c2ccc(Nc3ncc4ccc(=O)n(CC(O)CO)c4n3)cc2)CC1,1650
CN1CCN(c2ccc(Nc3ncc4ccc(=O)n(-c5ccccc5)c4n3)cc2)CC1,175
CN1CCN(c2ccc(Nc3ncc4ccc(=O)n(C5CC5)c4n3)cc2)CC1,140
CC(C)n1c(=O)ccc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,32
CC(C)CCn1c(=O)ccc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,13
CN1CCN(c2ccc(Nc3ncc4ccc(=O)n(C5CCCC5)c4n3)cc2)CC1,9
CN1CCN(c2ccc(Nc3ncc4ccc(=O)n(C5CC6CCC5C6)c4n3)cc2)CC1,6
CN1CCN(c2ccc(Nc3ncc4ccc(=O)n(C5CCCCC5)c4n3)cc2)CC1,4
O=c1ccc2cnc(Nc3ccc(N4CCC(CCCO)CC4)cc3)nc2n1C1CCCC1,34
O=c1ccc2cnc(Nc3ccc(N4CCC(CCCO)CC4)cc3)nc2n1C1CC2CCC1C2,8
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc12,18
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCOCC4)cc3)ncc12,116
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCCCC4)cc3)ncc12,180
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCC(CCCO)CC4)cc3)ncc12,114
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12,14
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(C=O)CC4)cc3)ncc12,161
CC(=O)N1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(C5CCCC5)c4n3)cc2)CC1,103
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cc3)ncc12,425
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCC(O)C4)cc3)ncc12,260
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCC(N)C4)cc3)ncc12,64
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCCNCC4)cc3)ncc12,52
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(CCO)CC4)cc3)ncc12,35
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4C[C@H](C)N[C@H](C)C4)cc3)ncc12,240
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNC(C)(C)C4)cc3)ncc12,65
Cc1cc(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)c(Cl)c3)ncc12,28
CCc1c(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n(C2CCCC2)c1=O,25
Cc1c(F)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12,30
Cc1c(Cl)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12,16
Cc1c(I)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12,5
Cc1c(C(=O)O)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12,32
COC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n(C2CCCC2)c1=O,4
CCCCOc1c(C(=O)c2ccccc2F)c[nH]c2nncc1-2,24000
CCCCOc1c(C(=O)c2c(F)cc(F)cc2F)c[nH]c2nncc1-2,690
CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)c[nH]c2nncc1-2,230
CCCCOc1c(C(=O)c2c(F)cc(Cl)cc2F)c[nH]c2nncc1-2,310
CCCCOc1c(C(=O)c2c(F)cc(Br)cc2F)c[nH]c2nncc1-2,370
CCCCOc1c(C(=O)c2c(F)cc(OC)cc2F)c[nH]c2nncc1-2,230
CC(C)(C)c1cnc(CSc2cnc(NC(=O)Cc3cccnc3)s2)o1,1090
CC(C)(C)c1cnc(CSc2cnc(Nc3ccccc3)s2)o1,78
CC(C)(C)c1cnc(CSc2cnc(Nc3cccnc3)s2)o1,130
CC(C)(C)c1cnc(CSc2cnc(Nc3ccncc3)s2)o1,30
CC(C)(CO)CNCc1ccc(Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)nc1,26
CC(C)(C)c1cnc(CSc2cnc(Nc3ccc(S(=O)(=O)NCCO)cc3)s2)o1,233
O=c1ccc2cnc(Nc3ccccn3)nc2n1C1CCCC1,145
O=c1ccc2cnc(Nc3ccccc3)nc2n1C1CCCC1,210
O=c1c(Br)cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,16
O=c1c(F)cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,51
Nc1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,19
Cc1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,27
CCc1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,22
O=c1c(CO)cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,13
COCc1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,13
CCOCc1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,18
COCCOCc1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,31
CCOCCOc1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,37
CC(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,123
Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12,5
CCOC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n(C2CCCC2)c1=O,6
CC(=O)c1c(C)c2cnc(Nc3ccccn3)nc2n(C2CCCC2)c1=O,440
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,11
CCOC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,49
COCCN(CCOC)c1ccc(Nc2ncc3c(C)c(Br)c(=O)n(C4CCCC4)c3n2)nc1,1100
Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CC(C)NC(C)C4)cn3)ncc12,63
Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(C)CC4)cn3)ncc12,136
Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCC(O)CC4)cn3)ncc12,74
COCCN(CCOC)c1ccc(Nc2ncc3c(C)c(C(C)=O)c(=O)n(C4CCCC4)c3n2)nc1,51
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNC(C)(C)C4)cn3)nc2n(C2CCCC2)c1=O,21
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CC(C)NC(C)C4)cn3)nc2n(C2CCCC2)c1=O,37
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C)CC4)cn3)nc2n(C2CCCC2)c1=O,5
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCC(N)C4)cn3)nc2n(C2CCCC2)c1=O,14
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCCNCC4)cn3)nc2n(C2CCCC2)c1=O,12
